index,랭킹,상품명,옵션,가격,중량,타입,리뷰,구매건수,찜하기,쇼핑몰,배송비,100g당_가격,배송비포함_가격,100g당_배송비포함_가격
131,47,한우 육사시미 뭉티기 국내산 채끝 살치살 치마살 꽃등심 갈비살 한우 선물세트,한우 육사시미(뭉티기) 600g (+17000원),44900,600,2,52,1,34,참좋은 제주몰,0,7484,44900,7484
132,48,당일도축 주인직접 대구뭉티기 한우생고기 육사시미 육회 300g+소스,육사시미+소스 300g,21600,300,2,28,41,23,그립소,3500,7200,25100,8367
133,48,당일도축 주인직접 대구뭉티기 한우생고기 육사시미 육회 300g+소스,육사시미+소스 400g (+6400원),28000,400,2,28,41,23,그립소,3500,7000,31500,7875
134,48,당일도축 주인직접 대구뭉티기 한우생고기 육사시미 육회 300g+소스,육회+소스 300g,21600,300,1,28,41,23,그립소,3500,7200,25100,8367
135,48,당일도축 주인직접 대구뭉티기 한우생고기 육사시미 육회 300g+소스,육회+소스 400g (+6400원),28000,400,1,28,41,23,그립소,3500,7000,31500,7875
136,51,[대구 명물] 당일 도축 한우 우둔살 뭉티기 생고기 육사시미 300g 150g,150g (-9000원),15900,150,2,212,117,6,맛꾼푸드,3500,10600,19400,12934
137,53,한우 암소 투플러스 홍두깨 300g 육회 육사시미 뭉티기 육전 이유식 1++,육사시미300g,19500,300,2,17,20,6,소문난정육점,3000,6500,22500,7500
138,53,한우 암소 투플러스 홍두깨 300g 육회 육사시미 뭉티기 육전 이유식 1++,육사시미600g (+19500원),39000,600,2,17,20,6,소문난정육점,3000,6500,42000,7000
139,53,한우 암소 투플러스 홍두깨 300g 육회 육사시미 뭉티기 육전 이유식 1++,육회300g,19500,300,1,17,20,6,소문난정육점,3000,6500,22500,7500
140,53,한우 암소 투플러스 홍두깨 300g 육회 육사시미 뭉티기 육전 이유식 1++,육회600g (+19500원),39000,600,1,17,20,6,소문난정육점,3000,6500,42000,7000
141,55,한우 육사시미 뭉티기 고기 육회 생고기 뭉텅이,한우 뭉티기250g (+2600원),17500,250,2,1,5,0,좋은사람들입니다,0,7000,17500,7000
142,55,한우 육사시미 뭉티기 고기 육회 생고기 뭉텅이,한우 뭉티기600g (+25100원) (품절),40000,600,2,1,5,0,좋은사람들입니다,0,6667,40000,6667
143,55,한우 육사시미 뭉티기 고기 육회 생고기 뭉텅이,1등 육회300g,14900,300,1,1,5,0,좋은사람들입니다,0,4967,14900,4967
144,57,마장동한우 뭉티기 육사시미 250g 투뿔한우,육사시미 250g,25900,250,2,,,0,위플러스온,3000,10360,28900,11560
145,59,흑사시미 반근 진짜 프리미엄 뭉티기 흑사시미,없음,28300,300,2,1,1,3,바다에 빠진 산적,4000,9434,32300,10767
146,61,육사시미 소스 뭉티기 우둔살 한우 대구,당일도축 한우 육사시미 250g+대구양념장,20000,250,2,3,3,10,율이네식탁,4000,8000,24000,9600
147,61,육사시미 소스 뭉티기 우둔살 한우 대구,당일도축 한우 육사시미 600g+대구양념장 (+19500원),39500,600,2,3,3,10,율이네식탁,4000,6584,43500,7250
151,68,마장동소고기 투뿔 한우 초신선 육사시미 뭉티기 소스 무료제공 500g,얇께썰기 서울당일배달,40000,500,2,19,40,0,허우적,4000,8000,44000,8800
152,70,한우 육사시미(생고기뭉티기) 250g3개+소스3개 당일,없음,59000,250,2,2,,8,주식회사두드림,0,23600,59000,23600
153,72,[미미캠핑]초신선 한우 뭉티기 300g,없음,27000,300,2,10,16,5,미미 상회,4000,9000,31000,10334
154,74,대구 뭉티기 소고기 국거리 초기이유식 육회고기,한우육회 우둔살 300g (+7000원),29800,300,1,2,2,1,워커하이브,0,9934,29800,9934
